High,Low,Adj. Close,Adj. Open,Date
568.0,552.92,558.46,568.0,2014-03-27
566.43,558.67,559.99,561.2,2014-03-28
567.0,556.93,556.97,566.89,2014-03-31
568.45,558.71,567.16,558.71,2014-04-01
604.83,562.19,567.0,565.106,2014-04-02
587.28,564.13,569.74,569.85,2014-04-03
577.77,543.0,543.14,574.65,2014-04-04
548.48,527.15,538.15,540.74,2014-04-07
555.0,541.61,554.9,542.6,2014-04-08
565.37,552.95,564.14,559.62,2014-04-09
565.0,539.9,540.95,565.0,2014-04-10
540.0,526.53,530.6,532.55,2014-04-11
544.1,529.561,532.52,538.25,2014-04-14
538.45,518.4601,536.44,536.82,2014-04-15
557.0,540.0,556.54,543.0,2014-04-16
549.5,531.15,536.1,548.81,2014-04-17
536.7,525.6,528.62,536.1,2014-04-21
537.23,527.51,534.81,528.64,2014-04-22
533.87,526.25,526.94,533.79,2014-04-23
531.65,522.12,525.16,530.07,2014-04-24
524.7,515.42,516.18,522.51,2014-04-25
518.6,502.8,517.15,517.18,2014-04-28
529.46,516.32,527.7,516.9,2014-04-29
528.0,522.52,526.66,527.6,2014-04-30
532.93,523.88,531.35,527.11,2014-05-01
533.9999,525.61,527.93,533.76,2014-05-02
528.9,521.32,527.81,524.82,2014-05-05
526.81,515.06,515.14,525.23,2014-05-06
516.68,503.3,509.96,515.79,2014-05-07
517.23,506.45,511.0,508.46,2014-05-08
519.9,504.2,518.73,510.75,2014-05-09
530.19,519.01,529.92,523.51,2014-05-12
536.07,529.51,533.09,530.89,2014-05-13
533.0,525.29,526.65,533.0,2014-05-14
525.87,517.42,519.98,525.7,2014-05-15
521.8,515.44,520.63,521.39,2014-05-16
529.78,517.583,528.86,519.7,2014-05-19
536.23,526.3,529.77,529.74,2014-05-20
539.1828,531.91,538.94,532.9,2014-05-21
547.5999,540.78,545.06,541.13,2014-05-22
553.64,543.7,552.7,547.26,2014-05-23
566.0,554.35,565.95,556.0,2014-05-27
567.84,561.0,561.68,564.57,2014-05-28
564.0,558.71,560.08,563.35,2014-05-29
561.35,555.91,559.89,560.8,2014-05-30
560.9,545.73,553.93,560.7,2014-06-02
552.34,542.55,544.94,550.99,2014-06-03
548.61,538.75,544.66,541.5,2014-06-04
554.95,544.45,553.9,546.4,2014-06-05
558.06,548.93,556.33,558.06,2014-06-06
562.9,556.04,562.12,557.15,2014-06-09
563.6,557.9,560.55,560.51,2014-06-10
559.88,555.0201,558.84,558.0,2014-06-11
557.99,548.46,551.35,557.3,2014-06-12
552.3,545.56,551.76,552.26,2014-06-13
549.62,541.52,544.28,549.26,2014-06-16
545.32,539.33,543.01,544.2,2014-06-17
553.56,544.0,553.37,544.86,2014-06-18
555.0,548.51,554.9,554.24,2014-06-19
557.58,550.3915,556.36,556.85,2014-06-20
565.0,554.25,564.95,555.15,2014-06-23
